geoName,Angela Merkel
Afghanistan,0
Albanien,50
Algerien,50
Amerikanisch-Samoa,0
Amerikanische Jungferninseln,0
Amerikanische Überseeinseln,0
Andorra,0
Angola,0
Anguilla,0
Antarktis,0
Antigua und Barbuda,0
Argentinien,50
Armenien,0
Aruba,0
Aserbaidschan,0
Australien,50
Bahamas,0
Bahrain,0
Bangladesch,0
Barbados,0
Belarus,0
Belgien,50
Belize,0
Benin,0
Bermuda,0
Bhutan,0
Bolivien,0
"Bonaire, Sint Eustatius und Saba",0
Bosnien und Herzegowina,50
Botsuana,0
Bouvetinsel,0
Brasilien,50
Britische Jungferninseln,0
Britisches Territorium im Indischen Ozean,0
Brunei Darussalam,0
Bulgarien,50
Burkina Faso,0
Burundi,0
Cabo Verde,0
Chile,50
China,0
Cookinseln,0
Costa Rica,50
Curaçao,0
Côte d’Ivoire,0
Deutschland,50
Dominica,0
Dominikanische Republik,0
Dschibuti,0
Dänemark,50
Ecuador,0
El Salvador,0
Eritrea,0
Estland,50
Falklandinseln (Malwinen),0
Fidschi,0
Finnland,50
Frankreich,50
Französisch-Guayana,0
Französisch-Polynesien,0
Französische Süd- und Antarktisgebiete,0
Färöer,0
Gabun,0
Gambia,0
Georgien,0
Ghana,0
Gibraltar,0
Grenada,0
Griechenland,50
Grönland,0
Guadeloupe,0
Guam,0
Guatemala,0
Guernsey,0
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,0
Heard und McDonaldinseln,0
Honduras,0
Hongkong,50
Indien,50
Indonesien,50
Irak,0
Iran,50
Irland,50
Island,0
Isle of Man,0
Israel,50
Italien,50
Jamaika,0
Japan,50
Jemen,0
Jersey,0
Jordanien,0
Kaimaninseln,0
Kambodscha,0
Kamerun,0
Kanada,50
Kasachstan,0
Katar,0
Kenia,50
Kirgisistan,0
Kiribati,0
Kokosinseln,0
Kolumbien,50
Komoren,0
Kongo-Brazzaville,0
Kongo-Kinshasa,0
Kosovo,0
Kroatien,50
Kuba,0
Kuwait,0
Laos,0
Lesotho,0
Lettland,0
Libanon,0
Liberia,0
Libyen,0
Liechtenstein,0
Litauen,0
Luxemburg,50
Macau,0
Madagaskar,0
Malawi,0
Malaysia,50
Malediven,0
Mali,0
Malta,0
Marokko,50
Marshallinseln,0
Martinique,0
Mauretanien,0
Mauritius,0
Mayotte,0
Mazedonien (EJR),50
Mexiko,50
Mikronesien,0
Monaco,0
Mongolei,0
Montenegro,0
Montserrat,0
Mosambik,0
Myanmar,0
Namibia,0
Nauru,0
Nepal,0
Neukaledonien,0
Neuseeland,50
Nicaragua,0
Niederlande,50
Niger,0
Nigeria,50
Niue,0
Nordkorea,0
Norfolkinsel,0
Norwegen,50
Nördliche Marianen,0
Oman,0
Pakistan,50
Palau,0
Palästina,0
Panama,0
Papua-Neuguinea,0
Paraguay,0
Peru,50
Philippinen,50
Pitcairninseln,0
Polen,50
Portugal,50
Puerto Rico,0
Republik Moldau,0
Ruanda,0
Rumänien,50
Russland,50
Réunion,0
Salomonen,0
Sambia,0
Samoa,0
San Marino,0
Saudi-Arabien,0
Schweden,50
Schweiz,50
Senegal,0
Serbien,50
Seychellen,0
Sierra Leone,0
Simbabwe,0
Singapur,50
Sint Maarten,0
Slowakei,50
Slowenien,50
Somalia,0
Spanien,50
Spitzbergen und Jan Mayen,0
Sri Lanka,0
St. Barthélemy,0
St. Helena,0
St. Kitts und Nevis,0
St. Lucia,0
St. Martin,0
St. Pierre und Miquelon,0
St. Vincent und die Grenadinen,0
Sudan,0
Suriname,0
Swasiland,0
Syrien,0
São Tomé und Príncipe,0
Südafrika,50
Südgeorgien und die Südlichen Sandwichinseln,0
Südkorea,50
Südsudan,0
Tadschikistan,0
Taiwan,0
Tansania,0
Thailand,50
Timor-Leste,0
Togo,0
Tokelau,0
Tonga,0
Trinidad und Tobago,0
Tschad,0
Tschechien,50
Tunesien,50
Turkmenistan,0
Turks- und Caicosinseln,0
Tuvalu,0
Türkei,50
Uganda,0
Ukraine,50
Ungarn,50
Uruguay,50
Usbekistan,0
Vanuatu,0
Vatikanstadt,0
Venezuela,50
Vereinigte Arabische Emirate,50
Vereinigte Staaten,50
Vereinigtes Königreich,50
Vietnam,50
Wallis und Futuna,0
Weihnachtsinsel,0
Westsahara,0
Zentralafrikanische Republik,0
Zypern,0
Ägypten,50
Äquatorialguinea,0
Äthiopien,0
Ålandinseln,0
Österreich,50
